angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.06,0.03,0.22,,"[269, 518, 417, 489]","[841, 756, 62, 82]","[710, 848, 34, 38]",,0.0,0.0,0.01,,0.03,0.05,0.11,,0.0,0.01,0.17,,0.47,0.63,0.03,,0.44,0.28,0.46,,0.0,0.0,0.0,
0.03,0.03,0.23,,"[275, 523, 413, 485]","[840, 757, 63, 82]","[710, 849, 34, 38]",,0.0,0.0,0.01,,0.0,0.05,0.12,,0.0,0.0,0.18,,0.86,0.62,0.03,,0.1,0.29,0.43,,0.0,0.0,0.0,
0.01,0.02,0.19,,"[276, 520, 416, 494]","[841, 757, 63, 83]","[711, 849, 32, 38]",,0.0,0.0,0.0,,0.01,0.05,0.15,,0.0,0.0,0.08,,0.89,0.62,0.02,,0.09,0.31,0.55,,0.0,0.0,0.0,
0.01,0.02,0.27,0.06,"[273, 518, 423, 504]","[840, 759, 63, 83]","[707, 849, 37, 43]","[774, 1429, 163, 199]",0.0,0.0,0.0,0.0,0.01,0.04,0.08,0.03,0.0,0.0,0.14,0.04,0.64,0.66,0.04,0.03,0.33,0.28,0.47,0.76,0.0,0.0,0.0,0.08
0.01,0.01,0.23,,"[275, 522, 422, 501]","[840, 758, 66, 86]","[706, 856, 37, 43]",,0.0,0.0,0.0,,0.01,0.02,0.05,,0.0,0.0,0.04,,0.67,0.7,0.13,,0.31,0.26,0.56,,0.0,0.0,0.0,
0.03,0.04,0.24,,"[275, 521, 423, 503]","[842, 764, 60, 81]","[705, 858, 37, 41]",,0.0,0.0,0.0,,0.01,0.04,0.04,,0.0,0.0,0.07,,0.84,0.52,0.13,,0.12,0.4,0.52,,0.0,0.0,0.0,
0.01,0.02,0.21,,"[278, 525, 420, 500]","[841, 760, 64, 85]","[717, 856, 27, 28]",,0.0,0.0,0.0,,0.01,0.04,0.08,,0.0,0.0,0.06,,0.88,0.67,0.01,,0.1,0.27,0.64,,0.0,0.0,0.0,
0.01,0.04,0.14,,"[282, 526, 413, 502]","[843, 769, 60, 76]","[705, 858, 37, 43]",,0.0,0.0,0.0,,0.01,0.04,0.02,,0.0,0.0,0.16,,0.88,0.51,0.11,,0.1,0.4,0.57,,0.0,0.0,0.0,
0.03,0.03,0.1,,"[282, 528, 413, 500]","[842, 765, 61, 81]","[708, 859, 33, 37]",,0.0,0.0,0.0,,0.01,0.03,0.07,,0.0,0.01,0.04,,0.83,0.64,0.02,,0.13,0.29,0.76,,0.0,0.0,0.0,
0.03,0.02,0.23,0.43,"[284, 530, 414, 497]","[842, 762, 64, 86]","[711, 856, 34, 37]","[740, 895, 42, 44]",0.0,0.0,0.0,0.0,0.01,0.02,0.08,0.15,0.0,0.0,0.07,0.09,0.8,0.73,0.02,0.11,0.15,0.23,0.6,0.21,0.0,0.0,0.0,0.01
0.02,0.02,0.24,,"[288, 538, 412, 490]","[842, 762, 64, 87]","[711, 856, 34, 37]",,0.0,0.0,0.0,,0.0,0.02,0.06,,0.0,0.0,0.02,,0.84,0.71,0.01,,0.13,0.24,0.66,,0.0,0.0,0.0,
0.01,0.04,0.21,,"[287, 536, 414, 491]","[845, 768, 60, 80]","[711, 856, 34, 39]",,0.0,0.0,0.0,,0.01,0.04,0.08,,0.0,0.01,0.05,,0.85,0.62,0.03,,0.13,0.29,0.63,,0.0,0.0,0.0,
0.01,0.06,0.28,,"[288, 537, 415, 495]","[846, 771, 59, 78]","[706, 861, 37, 43]",,0.0,0.0,0.0,,0.0,0.02,0.04,,0.0,0.01,0.13,,0.82,0.66,0.09,,0.17,0.24,0.45,,0.0,0.0,0.01,
0.01,0.04,,,"[288, 534, 416, 497]","[846, 771, 59, 79]",,,0.0,0.0,,,0.0,0.03,,,0.0,0.01,,,0.92,0.67,,,0.07,0.25,,,0.0,0.0,,
0.01,0.08,,,"[289, 535, 416, 496]","[848, 776, 57, 74]",,,0.0,0.0,,,0.0,0.04,,,0.0,0.01,,,0.9,0.43,,,0.09,0.44,,,0.0,0.0,,
0.01,0.07,0.22,,"[294, 535, 414, 495]","[847, 774, 58, 77]","[710, 862, 39, 44]",,0.0,0.0,0.0,,0.01,0.05,0.02,,0.0,0.03,0.45,,0.84,0.47,0.11,,0.13,0.38,0.2,,0.0,0.0,0.0,
0.01,0.04,0.31,,"[294, 532, 415, 495]","[846, 772, 64, 81]","[712, 863, 32, 37]",,0.0,0.0,0.0,,0.01,0.02,0.09,,0.0,0.01,0.17,,0.89,0.61,0.03,,0.09,0.31,0.38,,0.0,0.0,0.01,
0.03,0.09,,,"[296, 532, 414, 494]","[847, 775, 59, 78]",,,0.0,0.0,,,0.01,0.04,,,0.0,0.02,,,0.76,0.37,,,0.19,0.47,,,0.0,0.0,,
0.01,0.06,0.21,,"[297, 534, 413, 494]","[847, 775, 60, 79]","[722, 863, 29, 30]",,0.0,0.0,0.0,,0.01,0.03,0.1,,0.0,0.01,0.08,,0.79,0.51,0.01,,0.18,0.39,0.6,,0.0,0.0,0.0,
0.02,0.07,0.22,,"[296, 535, 414, 493]","[848, 776, 59, 79]","[724, 863, 27, 31]",,0.0,0.0,0.0,,0.01,0.04,0.1,,0.0,0.01,0.07,,0.77,0.41,0.01,,0.2,0.47,0.59,,0.0,0.0,0.01,
0.01,0.06,0.15,,"[296, 534, 414, 495]","[848, 776, 60, 80]","[725, 865, 26, 27]",,0.0,0.0,0.0,,0.01,0.03,0.09,,0.0,0.01,0.08,,0.81,0.44,0.01,,0.16,0.47,0.66,,0.0,0.0,0.01,
0.01,0.06,0.17,,"[294, 535, 414, 495]","[849, 776, 60, 79]","[718, 862, 34, 38]",,0.0,0.0,0.0,,0.01,0.04,0.15,,0.0,0.01,0.13,,0.78,0.45,0.02,,0.18,0.43,0.52,,0.0,0.0,0.0,
0.01,0.06,0.19,,"[291, 536, 415, 495]","[849, 771, 63, 85]","[718, 863, 33, 36]",,0.0,0.0,0.0,,0.02,0.02,0.16,,0.0,0.01,0.07,,0.79,0.48,0.04,,0.18,0.44,0.55,,0.0,0.0,0.0,
0.02,0.05,0.26,,"[289, 536, 415, 495]","[850, 774, 62, 82]","[717, 862, 35, 39]",,0.0,0.0,0.0,,0.02,0.03,0.14,,0.0,0.01,0.17,,0.75,0.45,0.06,,0.21,0.46,0.37,,0.0,0.0,0.0,
0.01,0.07,0.17,,"[290, 538, 414, 494]","[851, 773, 61, 84]","[717, 862, 35, 40]",,0.0,0.0,0.0,,0.02,0.04,0.14,,0.0,0.01,0.16,,0.77,0.38,0.04,,0.19,0.5,0.48,,0.0,0.0,0.0,
0.01,0.06,0.18,,"[292, 540, 410, 491]","[853, 780, 59, 78]","[718, 862, 36, 41]",,0.0,0.0,0.0,,0.04,0.04,0.18,,0.0,0.03,0.13,,0.74,0.45,0.06,,0.2,0.42,0.44,,0.01,0.0,0.0,
0.0,0.05,,,"[291, 540, 410, 491]","[854, 779, 61, 80]",,,0.0,0.0,,,0.03,0.09,,,0.0,0.05,,,0.82,0.36,,,0.14,0.45,,,0.0,0.0,,
0.0,0.08,,,"[290, 542, 410, 490]","[855, 778, 60, 80]",,,0.0,0.0,,,0.01,0.08,,,0.0,0.03,,,0.89,0.34,,,0.09,0.46,,,0.0,0.01,,
0.01,0.11,0.19,,"[289, 541, 412, 492]","[855, 777, 60, 81]","[719, 865, 36, 42]",,0.0,0.0,0.0,,0.01,0.08,0.18,,0.01,0.02,0.12,,0.83,0.3,0.03,,0.15,0.47,0.48,,0.0,0.02,0.0,
0.01,0.11,0.21,,"[289, 540, 412, 494]","[855, 778, 60, 80]","[720, 865, 35, 43]",,0.0,0.0,0.0,,0.03,0.05,0.11,,0.0,0.02,0.17,,0.81,0.38,0.03,,0.15,0.43,0.48,,0.0,0.01,0.0,
0.0,0.09,,,"[289, 539, 414, 498]","[854, 778, 61, 81]",,,0.0,0.0,,,0.02,0.04,,,0.0,0.02,,,0.86,0.34,,,0.11,0.5,,,0.0,0.01,,
0.01,0.12,0.11,,"[288, 539, 415, 500]","[853, 773, 64, 86]","[721, 866, 36, 41]",,0.0,0.0,0.0,,0.01,0.05,0.23,,0.0,0.01,0.12,,0.84,0.22,0.02,,0.13,0.59,0.52,,0.0,0.01,0.0,
0.01,0.12,0.15,,"[288, 538, 416, 501]","[853, 774, 64, 85]","[723, 866, 35, 40]",,0.0,0.0,0.0,,0.02,0.04,0.16,,0.01,0.01,0.27,,0.71,0.24,0.02,,0.25,0.58,0.4,,0.0,0.01,0.0,
0.01,0.06,0.16,,"[285, 541, 418, 500]","[856, 785, 59, 76]","[723, 867, 35, 40]",,0.0,0.0,0.0,,0.02,0.02,0.16,,0.0,0.01,0.18,,0.83,0.29,0.03,,0.14,0.62,0.48,,0.0,0.0,0.0,
0.0,0.06,0.16,,"[284, 544, 417, 498]","[856, 778, 61, 82]","[723, 867, 35, 42]",,0.0,0.0,0.0,,0.01,0.03,0.23,,0.01,0.01,0.14,,0.92,0.41,0.02,,0.07,0.49,0.45,,0.0,0.0,0.0,
0.0,0.17,,,"[284, 545, 417, 498]","[723, 868, 35, 39]",,,0.0,0.0,,,0.02,0.12,,,0.01,0.28,,,0.87,0.02,,,0.1,0.4,,,0.0,0.0,,
0.01,0.1,0.12,,"[285, 550, 416, 493]","[859, 779, 61, 79]","[724, 868, 35, 40]",,0.0,0.0,0.0,,0.02,0.17,0.16,,0.03,0.02,0.18,,0.73,0.19,0.03,,0.21,0.51,0.51,,0.0,0.01,0.0,
0.01,0.11,,,"[286, 552, 415, 495]","[725, 868, 34, 40]",,,0.0,0.0,,,0.0,0.11,,,0.0,0.27,,,0.93,0.03,,,0.06,0.49,,,0.0,0.0,,
0.01,0.15,,,"[288, 553, 412, 493]","[725, 870, 34, 38]",,,0.0,0.0,,,0.01,0.16,,,0.02,0.15,,,0.78,0.02,,,0.17,0.52,,,0.0,0.0,,
0.01,0.16,,,"[288, 555, 412, 492]","[725, 869, 36, 42]",,,0.0,0.0,,,0.02,0.14,,,0.03,0.13,,,0.73,0.02,,,0.2,0.55,,,0.0,0.0,,
0.02,,,,"[289, 554, 410, 493]",,,,0.0,,,,0.03,,,,0.02,,,,0.76,,,,0.16,,,,0.01,,,
0.02,,,,"[288, 554, 411, 492]",,,,0.0,,,,0.03,,,,0.01,,,,0.77,,,,0.17,,,,0.0,,,
0.01,0.13,,,"[287, 555, 411, 492]","[731, 872, 29, 32]",,,0.0,0.0,,,0.02,0.06,,,0.01,0.09,,,0.82,0.01,,,0.13,0.7,,,0.0,0.0,,
0.0,0.16,,,"[286, 555, 412, 494]","[730, 873, 31, 33]",,,0.0,0.0,,,0.03,0.08,,,0.03,0.11,,,0.82,0.03,,,0.12,0.62,,,0.0,0.0,,
0.01,0.17,,,"[284, 554, 416, 497]","[726, 871, 37, 43]",,,0.0,0.0,,,0.03,0.09,,,0.01,0.09,,,0.66,0.02,,,0.28,0.62,,,0.0,0.0,,
0.01,0.23,,,"[285, 554, 414, 498]","[723, 874, 40, 45]",,,0.0,0.0,,,0.04,0.14,,,0.01,0.05,,,0.67,0.04,,,0.26,0.53,,,0.0,0.0,,
0.01,0.34,0.05,,"[285, 554, 415, 498]","[725, 877, 38, 43]","[765, 1272, 45, 68]",,0.0,0.0,0.0,,0.03,0.07,0.02,,0.03,0.13,0.55,,0.64,0.08,0.08,,0.29,0.38,0.3,,0.0,0.0,0.0,
0.01,0.33,,,"[285, 554, 415, 500]","[725, 877, 38, 42]",,,0.0,0.0,,,0.03,0.13,,,0.01,0.13,,,0.67,0.09,,,0.28,0.31,,,0.0,0.0,,
0.0,0.17,,,"[285, 556, 416, 500]","[728, 873, 36, 42]",,,0.0,0.0,,,0.0,0.14,,,0.01,0.11,,,0.92,0.02,,,0.06,0.56,,,0.0,0.0,,
0.01,,,,"[284, 558, 418, 500]",,,,0.0,,,,0.0,,,,0.03,,,,0.88,,,,0.07,,,,0.0,,,
0.01,0.12,,,"[286, 560, 416, 498]","[728, 873, 38, 42]",,,0.0,0.0,,,0.01,0.1,,,0.05,0.03,,,0.82,0.01,,,0.11,0.74,,,0.0,0.0,,
0.01,0.11,,,"[286, 561, 417, 497]","[730, 873, 36, 41]",,,0.0,0.0,,,0.0,0.13,,,0.03,0.06,,,0.9,0.02,,,0.06,0.68,,,0.0,0.0,,
0.01,0.12,,,"[287, 562, 415, 497]","[730, 874, 35, 40]",,,0.0,0.0,,,0.01,0.12,,,0.04,0.04,,,0.87,0.02,,,0.08,0.71,,,0.0,0.0,,
0.01,0.1,,,"[287, 561, 416, 498]","[731, 874, 34, 41]",,,0.0,0.0,,,0.01,0.13,,,0.03,0.03,,,0.88,0.01,,,0.07,0.73,,,0.0,0.0,,
0.01,0.35,,,"[289, 562, 414, 495]","[726, 881, 37, 41]",,,0.0,0.0,,,0.01,0.06,,,0.03,0.04,,,0.83,0.04,,,0.12,0.51,,,0.0,0.0,,
0.0,0.15,,,"[289, 561, 414, 496]","[732, 874, 35, 41]",,,0.0,0.0,,,0.0,0.12,,,0.02,0.08,,,0.9,0.03,,,0.07,0.62,,,0.0,0.0,,
0.0,0.12,,,"[290, 561, 416, 495]","[731, 874, 37, 42]",,,0.0,0.0,,,0.05,0.16,,,0.0,0.14,,,0.78,0.04,,,0.16,0.53,,,0.0,0.0,,
0.01,0.13,,,"[290, 561, 416, 495]","[732, 874, 37, 42]",,,0.0,0.0,,,0.05,0.16,,,0.0,0.14,,,0.76,0.04,,,0.18,0.52,,,0.0,0.0,,
0.01,0.17,,,"[290, 561, 418, 496]","[734, 875, 34, 39]",,,0.0,0.0,,,0.04,0.12,,,0.01,0.08,,,0.7,0.03,,,0.24,0.6,,,0.0,0.0,,
0.01,0.11,,,"[291, 563, 417, 494]","[735, 878, 32, 34]",,,0.0,0.0,,,0.05,0.08,,,0.01,0.09,,,0.72,0.03,,,0.21,0.7,,,0.01,0.0,,
0.01,0.21,,,"[291, 565, 417, 494]","[729, 880, 37, 41]",,,0.0,0.0,,,0.02,0.1,,,0.03,0.08,,,0.84,0.03,,,0.1,0.58,,,0.0,0.0,,
0.0,0.19,,,"[291, 564, 417, 496]","[729, 880, 36, 41]",,,0.0,0.0,,,0.03,0.1,,,0.01,0.09,,,0.81,0.03,,,0.15,0.59,,,0.0,0.0,,
0.01,0.14,,,"[293, 564, 417, 493]","[729, 881, 36, 40]",,,0.0,0.0,,,0.02,0.1,,,0.01,0.03,,,0.65,0.02,,,0.32,0.71,,,0.0,0.0,,
0.01,0.17,,,"[292, 565, 419, 495]","[729, 882, 37, 40]",,,0.0,0.0,,,0.02,0.1,,,0.01,0.06,,,0.76,0.04,,,0.2,0.63,,,0.0,0.0,,
0.01,0.08,0.12,,"[292, 565, 419, 494]","[870, 783, 60, 80]","[738, 880, 30, 34]",,0.0,0.0,0.0,,0.01,0.12,0.07,,0.01,0.09,0.08,,0.74,0.4,0.02,,0.23,0.3,0.7,,0.0,0.01,0.0,
0.01,0.05,0.13,0.04,"[292, 565, 417, 494]","[867, 781, 61, 87]","[737, 880, 31, 35]","[770, 1279, 46, 69]",0.0,0.0,0.0,0.0,0.01,0.03,0.07,0.03,0.01,0.06,0.11,0.51,0.77,0.65,0.02,0.11,0.19,0.21,0.67,0.31,0.0,0.0,0.0,0.0
0.01,0.04,0.08,,"[292, 563, 416, 496]","[864, 782, 63, 86]","[737, 880, 31, 36]",,0.0,0.0,0.0,,0.0,0.04,0.08,,0.0,0.02,0.06,,0.83,0.6,0.02,,0.15,0.3,0.76,,0.0,0.0,0.0,
0.01,0.04,0.06,,"[291, 563, 415, 497]","[861, 781, 66, 88]","[737, 881, 32, 35]",,0.0,0.0,0.0,,0.0,0.03,0.1,,0.0,0.04,0.12,,0.76,0.64,0.02,,0.22,0.24,0.7,,0.0,0.0,0.0,
0.01,0.03,0.03,0.09,"[293, 564, 411, 498]","[860, 780, 67, 89]","[797, 1462, 163, 199]","[737, 881, 31, 33]",0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.08,0.0,0.04,0.04,0.1,0.78,0.74,0.04,0.02,0.2,0.16,0.75,0.71,0.0,0.0,0.12,0.0
0.02,0.03,0.1,,"[293, 565, 412, 498]","[860, 780, 67, 90]","[738, 881, 31, 34]",,0.0,0.0,0.0,,0.0,0.02,0.07,,0.0,0.03,0.16,,0.72,0.72,0.02,,0.25,0.19,0.64,,0.0,0.0,0.0,
0.01,0.07,0.24,,"[299, 569, 407, 494]","[860, 781, 67, 90]","[734, 879, 35, 41]",,0.0,0.0,0.0,,0.0,0.04,0.1,,0.0,0.03,0.1,,0.69,0.62,0.02,,0.3,0.25,0.54,,0.0,0.0,0.0,
0.01,0.02,0.13,,"[299, 571, 406, 494]","[860, 781, 67, 89]","[735, 880, 34, 41]",,0.0,0.0,0.0,,0.01,0.02,0.09,,0.01,0.03,0.13,,0.58,0.8,0.02,,0.39,0.13,0.63,,0.0,0.0,0.0,
0.01,0.04,0.12,,"[292, 571, 420, 504]","[866, 794, 63, 79]","[736, 880, 34, 38]",,0.0,0.0,0.0,,0.01,0.05,0.06,,0.01,0.09,0.22,,0.66,0.68,0.03,,0.31,0.15,0.56,,0.0,0.0,0.0,
0.02,0.02,0.07,,"[292, 575, 418, 503]","[865, 794, 64, 80]","[736, 879, 34, 40]",,0.0,0.0,0.0,,0.01,0.03,0.07,,0.02,0.06,0.27,,0.68,0.73,0.02,,0.28,0.16,0.57,,0.0,0.0,0.0,
0.02,0.03,0.11,0.17,"[292, 576, 418, 506]","[863, 787, 64, 86]","[736, 881, 34, 38]","[763, 923, 42, 44]",0.0,0.0,0.0,0.0,0.01,0.04,0.08,0.38,0.02,0.02,0.09,0.07,0.54,0.54,0.02,0.12,0.41,0.36,0.7,0.23,0.0,0.0,0.0,0.02
0.02,0.06,0.08,0.35,"[290, 580, 420, 502]","[866, 797, 63, 78]","[736, 880, 34, 40]","[763, 922, 41, 46]",0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.26,0.01,0.04,0.21,0.1,0.63,0.47,0.02,0.12,0.34,0.36,0.61,0.16,0.0,0.0,0.0,0.01
0.02,0.05,0.1,0.03,"[292, 583, 417, 503]","[866, 797, 63, 79]","[736, 880, 34, 41]","[798, 1463, 162, 195]",0.0,0.0,0.0,0.0,0.01,0.04,0.1,0.04,0.04,0.02,0.18,0.07,0.45,0.64,0.03,0.04,0.47,0.25,0.59,0.76,0.0,0.0,0.0,0.07
0.03,0.08,0.11,0.03,"[291, 583, 417, 501]","[868, 797, 63, 79]","[736, 881, 34, 40]","[799, 1464, 162, 193]",0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.03,0.0,0.01,0.16,0.04,0.78,0.64,0.02,0.05,0.18,0.22,0.6,0.76,0.0,0.0,0.0,0.08
0.03,0.14,0.08,,"[291, 585, 416, 499]","[868, 798, 62, 77]","[735, 881, 35, 40]",,0.0,0.0,0.0,,0.0,0.06,0.09,,0.0,0.0,0.16,,0.74,0.41,0.02,,0.22,0.4,0.65,,0.0,0.0,0.0,
0.02,0.06,0.11,,"[291, 586, 417, 500]","[868, 798, 63, 78]","[736, 881, 34, 41]",,0.0,0.0,0.0,,0.0,0.05,0.11,,0.0,0.0,0.14,,0.73,0.49,0.02,,0.24,0.4,0.62,,0.0,0.0,0.0,
0.03,0.03,0.1,,"[291, 587, 416, 498]","[867, 795, 61, 80]","[736, 882, 34, 39]",,0.0,0.0,0.0,,0.01,0.03,0.1,,0.0,0.0,0.16,,0.66,0.52,0.02,,0.3,0.42,0.61,,0.0,0.0,0.0,
0.03,0.04,0.1,,"[291, 588, 416, 496]","[867, 796, 60, 79]","[735, 881, 36, 41]",,0.0,0.0,0.0,,0.01,0.03,0.1,,0.01,0.01,0.15,,0.44,0.4,0.02,,0.51,0.53,0.63,,0.0,0.0,0.0,
0.01,0.05,0.11,,"[292, 592, 414, 493]","[867, 797, 60, 78]","[736, 882, 34, 39]",,0.0,0.0,0.0,,0.01,0.03,0.08,,0.0,0.0,0.13,,0.77,0.43,0.01,,0.2,0.49,0.66,,0.0,0.0,0.0,
0.02,0.02,0.17,,"[292, 595, 411, 489]","[867, 790, 63, 84]","[735, 883, 34, 39]",,0.0,0.0,0.0,,0.01,0.01,0.13,,0.02,0.01,0.15,,0.73,0.79,0.02,,0.23,0.16,0.54,,0.0,0.0,0.0,
0.03,0.04,0.18,,"[296, 598, 405, 488]","[868, 797, 61, 79]","[734, 883, 35, 40]",,0.0,0.0,0.0,,0.02,0.02,0.16,,0.02,0.01,0.14,,0.53,0.5,0.02,,0.4,0.43,0.49,,0.0,0.0,0.0,
0.02,0.05,0.15,,"[295, 599, 407, 491]","[868, 798, 60, 80]","[735, 883, 34, 40]",,0.0,0.0,0.0,,0.01,0.01,0.15,,0.01,0.0,0.17,,0.77,0.64,0.02,,0.19,0.29,0.51,,0.0,0.0,0.0,
0.02,0.03,0.17,0.31,"[290, 597, 412, 496]","[868, 796, 62, 81]","[735, 884, 34, 39]","[728, 894, 26, 38]",0.0,0.0,0.0,0.0,0.01,0.02,0.15,0.1,0.01,0.02,0.12,0.02,0.62,0.72,0.02,0.12,0.34,0.22,0.53,0.45,0.0,0.0,0.0,0.0
0.03,0.02,0.15,,"[290, 602, 412, 497]","[868, 796, 62, 81]","[734, 884, 35, 40]",,0.0,0.0,0.0,,0.01,0.02,0.14,,0.03,0.02,0.12,,0.55,0.71,0.02,,0.38,0.23,0.57,,0.0,0.0,0.0,
0.02,0.03,0.11,,"[296, 612, 405, 488]","[869, 796, 62, 81]","[732, 884, 37, 43]",,0.0,0.0,0.0,,0.01,0.04,0.06,,0.08,0.05,0.13,,0.57,0.6,0.02,,0.31,0.28,0.67,,0.0,0.0,0.0,
0.03,0.02,0.26,0.13,"[870, 798, 62, 80]","[297, 610, 406, 490]","[765, 927, 41, 42]","[733, 884, 36, 43]",0.0,0.0,0.0,0.0,0.03,0.01,0.18,0.08,0.04,0.06,0.13,0.1,0.57,0.78,0.21,0.02,0.33,0.14,0.2,0.67,0.0,0.0,0.01,0.0
0.02,0.03,0.12,0.28,"[299, 617, 416, 514]","[870, 798, 63, 81]","[732, 884, 36, 43]","[764, 927, 41, 43]",0.0,0.0,0.0,0.0,0.01,0.02,0.07,0.17,0.23,0.04,0.07,0.12,0.55,0.62,0.02,0.17,0.19,0.3,0.72,0.25,0.0,0.0,0.0,0.01
0.03,0.04,0.17,0.35,"[295, 626, 411, 497]","[870, 797, 64, 83]","[729, 887, 41, 47]","[764, 926, 41, 45]",0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.17,0.27,0.06,0.14,0.07,0.51,0.38,0.06,0.17,0.17,0.46,0.57,0.23,0.0,0.01,0.0,0.01
0.04,0.01,0.16,,"[869, 798, 65, 82]","[300, 609, 402, 497]","[729, 889, 41, 46]",,0.0,0.0,0.0,,0.06,0.01,0.04,,0.06,0.27,0.21,,0.38,0.55,0.14,,0.46,0.15,0.45,,0.01,0.0,0.0,
0.03,0.02,0.11,,"[869, 797, 66, 84]","[303, 636, 396, 480]","[730, 889, 40, 45]",,0.0,0.0,0.0,,0.07,0.01,0.06,,0.06,0.47,0.23,,0.37,0.32,0.11,,0.45,0.18,0.49,,0.01,0.0,0.0,
0.05,0.04,0.08,,"[294, 651, 415, 494]","[869, 797, 65, 84]","[732, 885, 36, 42]",,0.0,0.0,0.0,,0.02,0.07,0.09,,0.5,0.04,0.09,,0.22,0.43,0.03,,0.21,0.4,0.7,,0.0,0.01,0.0,
0.06,0.04,0.13,,"[871, 806, 55, 72]","[296, 639, 402, 490]","[731, 885, 37, 42]",,0.0,0.0,0.0,,0.05,0.01,0.1,,0.02,0.24,0.23,,0.41,0.33,0.04,,0.46,0.37,0.51,,0.0,0.01,0.0,
0.03,0.14,,,"[869, 797, 66, 84]","[731, 886, 37, 40]",,,0.0,0.0,,,0.06,0.1,,,0.06,0.19,,,0.63,0.02,,,0.22,0.54,,,0.01,0.0,,
0.07,0.02,0.2,,"[293, 651, 415, 493]","[869, 797, 66, 85]","[731, 886, 37, 42]",,0.0,0.0,0.0,,0.01,0.05,0.09,,0.35,0.09,0.25,,0.16,0.69,0.03,,0.39,0.14,0.42,,0.01,0.01,0.0,
0.11,0.02,0.15,,"[298, 658, 414, 488]","[868, 797, 66, 85]","[731, 887, 35, 40]",,0.0,0.0,0.0,,0.02,0.05,0.08,,0.32,0.08,0.18,,0.23,0.7,0.02,,0.31,0.14,0.56,,0.01,0.01,0.0,
0.04,0.19,,,"[870, 802, 61, 81]","[731, 886, 35, 42]",,,0.0,0.0,,,0.05,0.1,,,0.03,0.27,,,0.54,0.02,,,0.34,0.42,,,0.0,0.0,,
0.12,0.05,0.27,,"[291, 665, 418, 490]","[869, 805, 59, 78]","[729, 890, 37, 41]",,0.0,0.0,0.0,,0.01,0.09,0.07,,0.48,0.02,0.37,,0.2,0.39,0.04,,0.19,0.44,0.26,,0.0,0.01,0.0,
0.03,0.25,,,"[869, 806, 58, 76]","[730, 887, 36, 42]",,,0.0,0.0,,,0.06,0.09,,,0.02,0.21,,,0.4,0.02,,,0.48,0.43,,,0.0,0.0,,
0.04,0.2,,,"[869, 805, 58, 78]","[731, 888, 34, 40]",,,0.0,0.0,,,0.07,0.1,,,0.03,0.15,,,0.47,0.02,,,0.39,0.53,,,0.0,0.0,,
0.06,0.18,,,"[869, 805, 59, 79]","[734, 890, 30, 34]",,,0.0,0.0,,,0.13,0.08,,,0.02,0.11,,,0.35,0.01,,,0.44,0.62,,,0.01,0.0,,
0.02,0.3,,,"[867, 800, 65, 87]","[730, 888, 35, 40]",,,0.0,0.0,,,0.03,0.1,,,0.02,0.08,,,0.72,0.01,,,0.22,0.52,,,0.0,0.0,,
0.03,0.29,,,"[868, 805, 59, 78]","[734, 890, 30, 32]",,,0.0,0.0,,,0.04,0.11,,,0.01,0.1,,,0.58,0.01,,,0.34,0.49,,,0.0,0.0,,
0.04,0.25,,,"[868, 806, 58, 78]","[734, 890, 29, 32]",,,0.0,0.0,,,0.04,0.11,,,0.02,0.09,,,0.58,0.01,,,0.32,0.53,,,0.0,0.0,,
0.05,0.33,0.04,,"[868, 807, 57, 76]","[731, 889, 33, 39]","[750, 1446, 189, 223]",,0.0,0.0,0.0,,0.04,0.11,0.03,,0.03,0.14,0.04,,0.56,0.01,0.08,,0.32,0.42,0.56,,0.0,0.0,0.24,
0.22,0.06,,,"[734, 891, 29, 34]","[867, 806, 59, 78]",,,0.0,0.0,,,0.11,0.04,,,0.08,0.03,,,0.01,0.59,,,0.58,0.29,,,0.0,0.0,,
0.05,0.24,,,"[867, 806, 58, 77]","[733, 891, 30, 34]",,,0.0,0.0,,,0.04,0.08,,,0.04,0.12,,,0.53,0.01,,,0.34,0.54,,,0.0,0.0,,
0.07,0.34,,,"[867, 807, 58, 77]","[729, 890, 35, 38]",,,0.0,0.0,,,0.04,0.1,,,0.04,0.09,,,0.51,0.01,,,0.35,0.46,,,0.0,0.0,,
0.06,0.36,,,"[867, 807, 57, 76]","[729, 889, 34, 40]",,,0.0,0.0,,,0.04,0.1,,,0.04,0.15,,,0.46,0.01,,,0.4,0.38,,,0.0,0.0,,
0.05,0.34,,,"[866, 808, 58, 76]","[729, 890, 34, 38]",,,0.0,0.0,,,0.04,0.1,,,0.02,0.08,,,0.47,0.01,,,0.42,0.47,,,0.0,0.0,,
0.04,0.29,,,"[866, 808, 57, 75]","[729, 890, 33, 39]",,,0.0,0.0,,,0.04,0.1,,,0.02,0.14,,,0.44,0.02,,,0.46,0.44,,,0.0,0.0,,
